id,question,category,expected_concepts,role,difficulty
behavioral_work_under_pressure_failed,Tell me about a time when you failed to work under pressure.,behavioral,situation|what went wrong|lesson learned|how approach changed,HR,easy
behavioral_manage_multiple_tasks_failed,Tell me about a time when you failed to manage multiple tasks.,behavioral,situation|what went wrong|lesson learned|how approach changed,HR,medium
behavioral_fail_at_something_failed,Tell me about a time when you failed to fail at something.,behavioral,situation|what went wrong|lesson learned|how approach changed,HR,easy
behavioral_learn_a_new_skill_quickly_failed,Tell me about a time when you failed to learn a new skill quickly.,behavioral,situation|what went wrong|lesson learned|how approach changed,HR,hard
behavioral_resolve_a_conflict_prioritize,How do you prioritize tasks when you need to resolve a conflict?,behavioral,prioritization criteria|reasoning|example|outcome,HR,medium
behavioral_lead_a_team_prioritize,How do you prioritize tasks when you need to lead a team?,behavioral,prioritization criteria|reasoning|example|outcome,HR,easy
behavioral_meet_a_deadline_prioritize,How do you prioritize tasks when you need to meet a deadline?,behavioral,prioritization criteria|reasoning|example|outcome,HR,hard
behavioral_handle_criticism_prioritize,How do you prioritize tasks when you need to handle criticism?,behavioral,prioritization criteria|reasoning|example|outcome,HR,medium
behavioral_adapt_to_change_prioritize,How do you prioritize tasks when you need to adapt to change?,behavioral,prioritization criteria|reasoning|example|outcome,HR,medium
behavioral_make_a_tough_decision_prioritize,How do you prioritize tasks when you need to make a tough decision?,behavioral,prioritization criteria|reasoning|example|outcome,HR,easy
behavioral_work_under_pressure_prioritize,How do you prioritize tasks when you need to work under pressure?,behavioral,prioritization criteria|reasoning|example|outcome,HR,easy
behavioral_manage_multiple_tasks_prioritize,How do you prioritize tasks when you need to manage multiple tasks?,behavioral,prioritization criteria|reasoning|example|outcome,HR,easy
behavioral_fail_at_something_prioritize,How do you prioritize tasks when you need to fail at something?,behavioral,prioritization criteria|reasoning|example|outcome,HR,hard
behavioral_learn_a_new_skill_quickly_prioritize,How do you prioritize tasks when you need to learn a new skill quickly?,behavioral,prioritization criteria|reasoning|example|outcome,HR,hard
technical_list_tuple_diff,Explain the difference between list and tuple.,technical,definition of list|definition of tuple|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_list_array_diff,Explain the difference between list and array.,technical,definition of list|definition of array|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_list_hashmap_diff,Explain the difference between list and hashmap.,technical,definition of list|definition of hashmap|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_list_recursion_diff,Explain the difference between list and recursion.,technical,definition of list|definition of recursion|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_list_inheritance_diff,Explain the difference between list and inheritance.,technical,definition of list|definition of inheritance|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_list_encapsulation_diff,Explain the difference between list and encapsulation.,technical,definition of list|definition of encapsulation|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_list_polymorphism_diff,Explain the difference between list and polymorphism.,technical,definition of list|definition of polymorphism|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_list_pointers_diff,Explain the difference between list and pointers.,technical,definition of list|definition of pointers|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_list_rest_api_diff,Explain the difference between list and REST API.,technical,definition of list|definition of REST API|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_list_sql_injection_diff,Explain the difference between list and SQL injection.,technical,definition of list|definition of SQL injection|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_list_multithreading_diff,Explain the difference between list and multithreading.,technical,definition of list|definition of multithreading|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_list_deadlock_diff,Explain the difference between list and deadlock.,technical,definition of list|definition of deadlock|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_list_garbage_collection_diff,Explain the difference between list and garbage collection.,technical,definition of list|definition of garbage collection|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_list_big_o_notation_diff,Explain the difference between list and Big O notation.,technical,definition of list|definition of Big O notation|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_list_stack_diff,Explain the difference between list and stack.,technical,definition of list|definition of stack|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_list_queue_diff,Explain the difference between list and queue.,technical,definition of list|definition of queue|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_list_dictionary_diff,Explain the difference between list and dictionary.,technical,definition of list|definition of dictionary|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_list_lambda_function_diff,Explain the difference between list and lambda function.,technical,definition of list|definition of lambda function|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_list_virtual_memory_diff,Explain the difference between list and virtual memory.,technical,definition of list|definition of virtual memory|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_list_exception_handling_diff,Explain the difference between list and exception handling.,technical,definition of list|definition of exception handling|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_list_binary_search_diff,Explain the difference between list and binary search.,technical,definition of list|definition of binary search|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_list_linked_list_diff,Explain the difference between list and linked list.,technical,definition of list|definition of linked list|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_list_merge_sort_diff,Explain the difference between list and merge sort.,technical,definition of list|definition of merge sort|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_list_interface_diff,Explain the difference between list and interface.,technical,definition of list|definition of interface|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_tuple_array_diff,Explain the difference between tuple and array.,technical,definition of tuple|definition of array|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_tuple_hashmap_diff,Explain the difference between tuple and hashmap.,technical,definition of tuple|definition of hashmap|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_tuple_recursion_diff,Explain the difference between tuple and recursion.,technical,definition of tuple|definition of recursion|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_tuple_inheritance_diff,Explain the difference between tuple and inheritance.,technical,definition of tuple|definition of inheritance|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_tuple_encapsulation_diff,Explain the difference between tuple and encapsulation.,technical,definition of tuple|definition of encapsulation|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_tuple_polymorphism_diff,Explain the difference between tuple and polymorphism.,technical,definition of tuple|definition of polymorphism|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_tuple_pointers_diff,Explain the difference between tuple and pointers.,technical,definition of tuple|definition of pointers|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_tuple_rest_api_diff,Explain the difference between tuple and REST API.,technical,definition of tuple|definition of REST API|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_tuple_sql_injection_diff,Explain the difference between tuple and SQL injection.,technical,definition of tuple|definition of SQL injection|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_tuple_multithreading_diff,Explain the difference between tuple and multithreading.,technical,definition of tuple|definition of multithreading|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_tuple_deadlock_diff,Explain the difference between tuple and deadlock.,technical,definition of tuple|definition of deadlock|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_tuple_garbage_collection_diff,Explain the difference between tuple and garbage collection.,technical,definition of tuple|definition of garbage collection|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_tuple_big_o_notation_diff,Explain the difference between tuple and Big O notation.,technical,definition of tuple|definition of Big O notation|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_tuple_stack_diff,Explain the difference between tuple and stack.,technical,definition of tuple|definition of stack|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_tuple_queue_diff,Explain the difference between tuple and queue.,technical,definition of tuple|definition of queue|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_tuple_dictionary_diff,Explain the difference between tuple and dictionary.,technical,definition of tuple|definition of dictionary|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_tuple_lambda_function_diff,Explain the difference between tuple and lambda function.,technical,definition of tuple|definition of lambda function|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_tuple_virtual_memory_diff,Explain the difference between tuple and virtual memory.,technical,definition of tuple|definition of virtual memory|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_tuple_exception_handling_diff,Explain the difference between tuple and exception handling.,technical,definition of tuple|definition of exception handling|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_tuple_binary_search_diff,Explain the difference between tuple and binary search.,technical,definition of tuple|definition of binary search|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_tuple_linked_list_diff,Explain the difference between tuple and linked list.,technical,definition of tuple|definition of linked list|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_tuple_merge_sort_diff,Explain the difference between tuple and merge sort.,technical,definition of tuple|definition of merge sort|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_tuple_interface_diff,Explain the difference between tuple and interface.,technical,definition of tuple|definition of interface|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_array_hashmap_diff,Explain the difference between array and hashmap.,technical,definition of array|definition of hashmap|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_array_recursion_diff,Explain the difference between array and recursion.,technical,definition of array|definition of recursion|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_array_inheritance_diff,Explain the difference between array and inheritance.,technical,definition of array|definition of inheritance|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_array_encapsulation_diff,Explain the difference between array and encapsulation.,technical,definition of array|definition of encapsulation|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_array_polymorphism_diff,Explain the difference between array and polymorphism.,technical,definition of array|definition of polymorphism|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_array_pointers_diff,Explain the difference between array and pointers.,technical,definition of array|definition of pointers|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_array_rest_api_diff,Explain the difference between array and REST API.,technical,definition of array|definition of REST API|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_array_sql_injection_diff,Explain the difference between array and SQL injection.,technical,definition of array|definition of SQL injection|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_array_multithreading_diff,Explain the difference between array and multithreading.,technical,definition of array|definition of multithreading|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_array_deadlock_diff,Explain the difference between array and deadlock.,technical,definition of array|definition of deadlock|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_array_garbage_collection_diff,Explain the difference between array and garbage collection.,technical,definition of array|definition of garbage collection|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_array_big_o_notation_diff,Explain the difference between array and Big O notation.,technical,definition of array|definition of Big O notation|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_array_stack_diff,Explain the difference between array and stack.,technical,definition of array|definition of stack|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_array_queue_diff,Explain the difference between array and queue.,technical,definition of array|definition of queue|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_array_dictionary_diff,Explain the difference between array and dictionary.,technical,definition of array|definition of dictionary|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_array_lambda_function_diff,Explain the difference between array and lambda function.,technical,definition of array|definition of lambda function|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_array_virtual_memory_diff,Explain the difference between array and virtual memory.,technical,definition of array|definition of virtual memory|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_array_exception_handling_diff,Explain the difference between array and exception handling.,technical,definition of array|definition of exception handling|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_array_binary_search_diff,Explain the difference between array and binary search.,technical,definition of array|definition of binary search|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_array_linked_list_diff,Explain the difference between array and linked list.,technical,definition of array|definition of linked list|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_array_merge_sort_diff,Explain the difference between array and merge sort.,technical,definition of array|definition of merge sort|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_array_interface_diff,Explain the difference between array and interface.,technical,definition of array|definition of interface|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_hashmap_recursion_diff,Explain the difference between hashmap and recursion.,technical,definition of hashmap|definition of recursion|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_hashmap_inheritance_diff,Explain the difference between hashmap and inheritance.,technical,definition of hashmap|definition of inheritance|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_hashmap_encapsulation_diff,Explain the difference between hashmap and encapsulation.,technical,definition of hashmap|definition of encapsulation|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_hashmap_polymorphism_diff,Explain the difference between hashmap and polymorphism.,technical,definition of hashmap|definition of polymorphism|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_hashmap_pointers_diff,Explain the difference between hashmap and pointers.,technical,definition of hashmap|definition of pointers|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_hashmap_rest_api_diff,Explain the difference between hashmap and REST API.,technical,definition of hashmap|definition of REST API|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_hashmap_sql_injection_diff,Explain the difference between hashmap and SQL injection.,technical,definition of hashmap|definition of SQL injection|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_hashmap_multithreading_diff,Explain the difference between hashmap and multithreading.,technical,definition of hashmap|definition of multithreading|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_hashmap_deadlock_diff,Explain the difference between hashmap and deadlock.,technical,definition of hashmap|definition of deadlock|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_hashmap_garbage_collection_diff,Explain the difference between hashmap and garbage collection.,technical,definition of hashmap|definition of garbage collection|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_hashmap_big_o_notation_diff,Explain the difference between hashmap and Big O notation.,technical,definition of hashmap|definition of Big O notation|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_hashmap_stack_diff,Explain the difference between hashmap and stack.,technical,definition of hashmap|definition of stack|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_hashmap_queue_diff,Explain the difference between hashmap and queue.,technical,definition of hashmap|definition of queue|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_hashmap_dictionary_diff,Explain the difference between hashmap and dictionary.,technical,definition of hashmap|definition of dictionary|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_hashmap_lambda_function_diff,Explain the difference between hashmap and lambda function.,technical,definition of hashmap|definition of lambda function|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_hashmap_virtual_memory_diff,Explain the difference between hashmap and virtual memory.,technical,definition of hashmap|definition of virtual memory|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_hashmap_exception_handling_diff,Explain the difference between hashmap and exception handling.,technical,definition of hashmap|definition of exception handling|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_hashmap_binary_search_diff,Explain the difference between hashmap and binary search.,technical,definition of hashmap|definition of binary search|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_hashmap_linked_list_diff,Explain the difference between hashmap and linked list.,technical,definition of hashmap|definition of linked list|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_hashmap_merge_sort_diff,Explain the difference between hashmap and merge sort.,technical,definition of hashmap|definition of merge sort|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_hashmap_interface_diff,Explain the difference between hashmap and interface.,technical,definition of hashmap|definition of interface|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_recursion_inheritance_diff,Explain the difference between recursion and inheritance.,technical,definition of recursion|definition of inheritance|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_recursion_encapsulation_diff,Explain the difference between recursion and encapsulation.,technical,definition of recursion|definition of encapsulation|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_recursion_polymorphism_diff,Explain the difference between recursion and polymorphism.,technical,definition of recursion|definition of polymorphism|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_recursion_pointers_diff,Explain the difference between recursion and pointers.,technical,definition of recursion|definition of pointers|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_recursion_rest_api_diff,Explain the difference between recursion and REST API.,technical,definition of recursion|definition of REST API|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_recursion_sql_injection_diff,Explain the difference between recursion and SQL injection.,technical,definition of recursion|definition of SQL injection|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_recursion_multithreading_diff,Explain the difference between recursion and multithreading.,technical,definition of recursion|definition of multithreading|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_recursion_deadlock_diff,Explain the difference between recursion and deadlock.,technical,definition of recursion|definition of deadlock|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_recursion_garbage_collection_diff,Explain the difference between recursion and garbage collection.,technical,definition of recursion|definition of garbage collection|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_recursion_big_o_notation_diff,Explain the difference between recursion and Big O notation.,technical,definition of recursion|definition of Big O notation|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_recursion_stack_diff,Explain the difference between recursion and stack.,technical,definition of recursion|definition of stack|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_recursion_queue_diff,Explain the difference between recursion and queue.,technical,definition of recursion|definition of queue|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_recursion_dictionary_diff,Explain the difference between recursion and dictionary.,technical,definition of recursion|definition of dictionary|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_recursion_lambda_function_diff,Explain the difference between recursion and lambda function.,technical,definition of recursion|definition of lambda function|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_recursion_virtual_memory_diff,Explain the difference between recursion and virtual memory.,technical,definition of recursion|definition of virtual memory|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_recursion_exception_handling_diff,Explain the difference between recursion and exception handling.,technical,definition of recursion|definition of exception handling|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_recursion_binary_search_diff,Explain the difference between recursion and binary search.,technical,definition of recursion|definition of binary search|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_recursion_linked_list_diff,Explain the difference between recursion and linked list.,technical,definition of recursion|definition of linked list|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_recursion_merge_sort_diff,Explain the difference between recursion and merge sort.,technical,definition of recursion|definition of merge sort|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_recursion_interface_diff,Explain the difference between recursion and interface.,technical,definition of recursion|definition of interface|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_inheritance_encapsulation_diff,Explain the difference between inheritance and encapsulation.,technical,definition of inheritance|definition of encapsulation|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_inheritance_polymorphism_diff,Explain the difference between inheritance and polymorphism.,technical,definition of inheritance|definition of polymorphism|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_inheritance_pointers_diff,Explain the difference between inheritance and pointers.,technical,definition of inheritance|definition of pointers|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_inheritance_rest_api_diff,Explain the difference between inheritance and REST API.,technical,definition of inheritance|definition of REST API|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_inheritance_sql_injection_diff,Explain the difference between inheritance and SQL injection.,technical,definition of inheritance|definition of SQL injection|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_inheritance_multithreading_diff,Explain the difference between inheritance and multithreading.,technical,definition of inheritance|definition of multithreading|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_inheritance_deadlock_diff,Explain the difference between inheritance and deadlock.,technical,definition of inheritance|definition of deadlock|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_inheritance_garbage_collection_diff,Explain the difference between inheritance and garbage collection.,technical,definition of inheritance|definition of garbage collection|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_inheritance_big_o_notation_diff,Explain the difference between inheritance and Big O notation.,technical,definition of inheritance|definition of Big O notation|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_inheritance_stack_diff,Explain the difference between inheritance and stack.,technical,definition of inheritance|definition of stack|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_inheritance_queue_diff,Explain the difference between inheritance and queue.,technical,definition of inheritance|definition of queue|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_inheritance_dictionary_diff,Explain the difference between inheritance and dictionary.,technical,definition of inheritance|definition of dictionary|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_inheritance_lambda_function_diff,Explain the difference between inheritance and lambda function.,technical,definition of inheritance|definition of lambda function|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_inheritance_virtual_memory_diff,Explain the difference between inheritance and virtual memory.,technical,definition of inheritance|definition of virtual memory|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_inheritance_exception_handling_diff,Explain the difference between inheritance and exception handling.,technical,definition of inheritance|definition of exception handling|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_inheritance_binary_search_diff,Explain the difference between inheritance and binary search.,technical,definition of inheritance|definition of binary search|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_inheritance_linked_list_diff,Explain the difference between inheritance and linked list.,technical,definition of inheritance|definition of linked list|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_inheritance_merge_sort_diff,Explain the difference between inheritance and merge sort.,technical,definition of inheritance|definition of merge sort|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_inheritance_interface_diff,Explain the difference between inheritance and interface.,technical,definition of inheritance|definition of interface|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_encapsulation_polymorphism_diff,Explain the difference between encapsulation and polymorphism.,technical,definition of encapsulation|definition of polymorphism|key differences|practical use cases|trade-offs,Software Engineer,hard
technical_encapsulation_pointers_diff,Explain the difference between encapsulation and pointers.,technical,definition of encapsulation|definition of pointers|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_encapsulation_rest_api_diff,Explain the difference between encapsulation and REST API.,technical,definition of encapsulation|definition of REST API|key differences|practical use cases|trade-offs,Software Engineer,medium
technical_encapsulation_sql_injection_diff,Explain the difference between encapsulation and SQL injection.,technical,definition of encapsulation|definition of SQL injection|key differences|practical use cases|trade-offs,Software Engineer,easy
technical_encapsulation_multithreading_diff,Explain the difference between encapsulation and multithreading.,technical,definition of encapsulation|definition of multithreading|key differences|practical use cases|trade-offs,Software Engineer,medium
